epochs,accuracy,val_accuracy,recall,val_recall,precision,val_precision
1,0.6942,0.6945,0.7984,0.9573,0.6607,0.5611
2,0.7768,0.795,0.8614,0.8834,0.7368,0.6806
3,0.8195,0.825,0.8723,0.9236,0.7891,0.7102
4,0.8527,0.8665,0.8979,0.9301,0.8234,0.7712
5,0.8872,0.879,0.9189,0.978,0.864,0.7704
6,0.9093,0.9105,0.9371,0.9663,0.8877,0.8298
7,0.9271,0.922,0.9485,0.9689,0.9096,0.85
8,0.9406,0.936,0.9563,0.9754,0.9271,0.8735
9,0.9536,0.9425,0.9668,0.9767,0.942,0.886
10,0.9596,0.9435,0.9711,0.9845,0.9493,0.8827
